what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284866684187
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284866696703
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284866701875
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284866705828
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284866707203
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284866709859
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1284866709906
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284866716125
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284866720906
activated,view,com.android.ide.eclipse.ddms,0.9.8.v201008281755-53891,"com.android.ide.eclipse.ddms.views.LogCatView",1284866726109
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284866735937
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284866744000
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284866758750
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284866766265
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284866780046
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284866802234
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1284866802234
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284866813968
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284866838421
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284866840656
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284866868687
activated,view,com.android.ide.eclipse.ddms,0.9.8.v201008281755-53891,"com.android.ide.eclipse.ddms.views.LogCatView",1284866868859
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1284866870578
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284866872156
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284866888921
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.JavadocView",1284866889062
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1284866900968
opened,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1284866902921
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1284866902953
activated,view,com.android.ide.eclipse.ddms,0.9.8.v201008281755-53891,"com.android.ide.eclipse.ddms.views.LogCatView",1284866904562
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284866910750
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284866934703
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1284866934718
activated,view,com.android.ide.eclipse.ddms,0.9.8.v201008281755-53891,"com.android.ide.eclipse.ddms.views.LogCatView",1284866942734
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284866947578
error,log,,,"No command output when running: 'am start -n fr.amsuc.android.activite/fr.amsuc.android.activite.Main -a android.intent.action.MAIN -c android.intent.category.LAUNCHER' on device emulator-5554",1284866951906
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284866961750
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1284866961890
activated,view,com.android.ide.eclipse.ddms,0.9.8.v201008281755-53891,"com.android.ide.eclipse.ddms.views.LogCatView",1284866975859
activated,perspective,com.android.ide.eclipse.ddms,0.9.8.v201008281755-53891,"com.android.ide.eclipse.ddms.Perspective",1284866981593
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1284866981609
activated,view,com.android.ide.eclipse.ddms,0.9.8.v201008281755-53891,"com.android.ide.eclipse.ddms.views.LogCatView",1284866985125
activated,view,com.android.ide.eclipse.ddms,0.9.8.v201008281755-53891,"com.android.ide.eclipse.ddms.views.DeviceView",1284866989062
activated,perspective,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.JavaPerspective",1284866998593
activated,view,com.android.ide.eclipse.ddms,0.9.8.v201008281755-53891,"com.android.ide.eclipse.ddms.views.LogCatView",1284866998593
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284867055984
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284867070625
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1284867070671
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1284867078156
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1284867087984
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.wordNext",1284867095140
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.lineEnd",1284867096375
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1284867127640
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.lineEnd",1284867133265
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1284867330609
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1284867333796
activated,view,com.android.ide.eclipse.ddms,0.9.8.v201008281755-53891,"com.android.ide.eclipse.ddms.views.LogCatView",1284867378921
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1284867381734
activated,view,com.android.ide.eclipse.ddms,0.9.8.v201008281755-53891,"com.android.ide.eclipse.ddms.views.LogCatView",1284867390750
error,log,,,"No command output when running: 'am start -n fr.amsuc.android.activite/fr.amsuc.android.activite.Main -a android.intent.action.MAIN -c android.intent.category.LAUNCHER' on device emulator-5554",1284867396500
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284867406453
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284867426671
